A, B, NO, 152, 69, .454, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AEROBICS, EXERCISE, YES, 150, 49, .327, .034, .0340, .0190, 6, 2, 6.0, 1, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 28, 58, 4.62, G, N, 3.12, .58, .038, 1
AEROBICS, SWEAT, YES, 150, 19, .127, 0.000, .0490, .0273, 3, 2, 3.0, 1, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 16, 23, 4.53, , V, .87, .53, .191, 1
AEROBICS, DANCE, YES, 150, 11, .073, .014, .0050, .0109, 1, 2, 3.0, 2, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 19, 90, 4.98, , V, 1.47, .58, .055, 1
AEROBICS, WORKOUT, YES, 150, 10, .067, .089, .0070, .1081, 2, 2, 2.0, 1, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 13, 2, ¥, , N, 2.50, .33, .023, 1
AEROBICS, FUN, YES, 150, 6, .040, 0.000, .0100, 0.0000, 5, 2, 0.0, 0, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 15, 44, 2.45, , N, 2.13, .73, .058, 1
AEROBICS, SHAPELY, NO, 150, 5, .033, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AEROBICS, FITNESS, YES, 150, 4, .027, .085, .0050, .0475, 1, 2, 3.0, 2, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 20, 8, ¥, , N, 3.39, .22, .007, 1
AEROBICS, JUMP, YES, 150, 4, .027, 0.000, 0.0000, .0011, 1, 2, 1.0, 0, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 12, 24, 4.44, , V, .58, .33, .108, 1
AEROBICS, GIRLS, YES, 150, 3, .020, 0.000, 0.0000, .0013, 0, 2, 1.0, 1, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 10, 142, ¥, , N, 1.62, .25, .269, 1
AEROBICS, PAIN, YES, 150, 3, .020, 0.000, .0090, 0.0000, 1, 2, 0.0, 0, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 13, 88, 4.22, , N, .92, .50, .340, 1
AEROBICS, RUN, YES, 150, 3, .020, 0.000, .0220, .0085, 4, 2, 3.0, 0, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 10, 212, 4.51, , V, 1.00, .80, .353, 1
AEROBICS, STEP, YES, 150, 3, .020, 0.000, .0010, 0.0000, 1, 2, 0.0, 0, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 10, 131, 4.91, , N, 2.10, .30, .064, 1
AEROBICS, TIRING, NO, 150, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AEROBICS, ACTIVITY, YES, 150, 2, .013, 0.000, 0.0000, .0118, 0, 2, 4.0, 4, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 22, 116, ¥, , N, 3.29, .10, .001, 1
AEROBICS, SPORT, YES, 150, 2, .013, 0.000, .0050, .0007, 2, 2, 1.0, 1, 15, 1, ¥, , AJ, 2.08, .31, .020, 1, 12, 17, 4.18, , N, 1.83, .50, .055, 1
AFFAIR, CHEAT, YES, 148, 21, .142, 0.000, .0230, .0007, 1, 1, 1.0, 1, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 18, 3, 3.25, , V, 2.18, .18, .023, 1
AFFAIR, LOVE, YES, 148, 20, .135, 0.000, .0440, 0.0000, 7, 1, 0.0, 0, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 18, 232, 3.51, , N, 1.67, .78, .236, 1
AFFAIR, SEX, YES, 148, 11, .074, 0.000, .0140, .0141, 4, 1, 2.0, 2, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 15, 84, 5.33, , N, 1.71, .57, .043, 1
AFFAIR, ADULTERY, YES, 148, 10, .068, .033, 0.0000, .0580, 0, 1, 3.0, 3, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 11, 3, ¥, , N, 1.00, .11, .002, 1
AFFAIR, MARRIAGE, YES, 148, 10, .068, 0.000, .0080, .0193, 3, 1, 3.0, 2, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 19, 95, 3.94, , N, 2.00, .50, .087, 1
AFFAIR, EVENT, YES, 148, 5, .034, 0.000, .0030, .0020, 2, 1, 2.0, 1, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 22, 81, 3.72, , N, 1.32, .16, .013, 1
AFFAIR, FAMILY, YES, 148, 4, .027, 0.000, .0020, .0234, 2, 1, 2.0, 1, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 25, 331, 5.85, , N, 2.36, .48, .014, 1
AFFAIR, RELATIONSHIP, YES, 148, 4, .027, 0.000, 0.0000, .0424, 1, 1, 4.0, 4, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 19, 88, ¥, , N, 1.88, .12, .005, 1
AFFAIR, FLING, YES, 148, 3, .020, .101, 0.0000, .0003, 0, 1, 1.0, 1, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 13, 2, ¥, N, V, .36, .09, .002, 1
AFFAIR, PARTY, YES, 148, 3, .020, 0.000, .0020, .0003, 2, 1, 1.0, 1, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 22, 216, 5.50, T, N, 1.29, .33, .029, 1
AFFAIR, PEOPLE, YES, 148, 3, .020, 0.000, .0010, .0007, 2, 1, 1.0, 0, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 18, 847, 5.51, , N, 1.44, .61, .126, 1
AFFAIR, ROMANCE, YES, 148, 3, .020, 0.000, 0.0000, .0852, 1, 1, 4.0, 4, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 9, 13, 2.75, , N, 1.33, 0.00, 0.000, 1
AFFAIR, WRONG, YES, 148, 3, .020, 0.000, .0050, 0.0000, 1, 1, 0.0, 0, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 6, 129, 2.60, , AJ, .67, .67, .320, 1
AFFAIR, CURRENT, YES, 148, 2, .014, .040, 0.0000, .0020, 0, 1, 2.0, 2, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 21, 104, ¥, G, AJ, 2.00, .19, .007, 1
AFFAIR, DIVORCE, YES, 148, 2, .014, 0.000, .0130, .0225, 1, 1, 1.0, 0, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 11, 29, 4.23, , N, .56, .44, .083, 1
AFFAIR, HAPPENING, YES, 148, 2, .014, 0.000, .0030, .0057, 2, 1, 2.0, 1, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 11, 28, ¥, , N, .56, .11, .011, 0
AFFAIR, INFIDELITY, NO, 148, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 19, 33, ¥, T, N, 1.78, .17, .005, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AFFAIR, LUST, YES, 148, 2, .014, 0.000, 0.0000, .0643, 0, 1, 2.0, 2, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 8, 5, 3.16, , N, 2.29, .43, .012, 1
AFFAIR, WOMAN, YES, 148, 2, .014, 0.000, .0020, .0022, 3, 1, 1.0, 1, 19, 33, ¥, T, N, 1.78, .17, .005, 1, 7, 224, 5.68, , N, 2.00, .86, .414, 1
AFFECT, EFFECT, YES, 152, 34, .224, .094, .0470, .0504, 2, 1, 5.0, 2, 16, 35, ¥, , V, .93, .13, .022, 1, 13, 213, 2.22, , N, 1.50, .33, .147, 1
AFFECT, CAUSE, YES, 152, 20, .132, 0.000, .0790, .0797, 2, 1, 1.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 19, 130, 2.90, , N, 1.44, .22, .129, 1
AFFECT, BOTHER, YES, 152, 10, .066, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 18, 22, ¥, , V, 2.53, .33, .125, 1
AFFECT, CHANGE, YES, 152, 10, .066, 0.000, .0090, 0.0000, 1, 1, 0.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 15, 240, 3.06, N, V, .92, .23, .028, 1
AFFECT, INFLUENCE, YES, 152, 5, .033, .026, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 19, 132, ¥, , N, 1.06, .13, .004, 1
AFFECT, FEELING, YES, 152, 4, .026, 0.000, .0040, .0039, 1, 1, 3.0, 2, 16, 35, ¥, , V, .93, .13, .022, 1, 18, 172, 2.33, , N, 2.50, .31, .088, 1
AFFECT, DEFECT, NO, 152, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 35, ¥, , V, .93, .13, .022, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AFFECT, HARM, YES, 152, 3, .020, 0.000, 0.0000, .0083, 1, 1, 1.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 9, 25, 2.90, , N, 1.89, .11, .008, 1
AFFECT, EFFORT, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 18, 145, 2.22, , N, 1.47, .12, .029, 1
AFFECT, EMOTION, YES, 152, 2, .013, 0.000, .0060, .0071, 1, 1, 1.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 11, 34, 2.40, , N, 2.27, .18, .067, 1
AFFECT, HURT, YES, 152, 2, .013, 0.000, .0130, .0002, 2, 1, 1.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 12, 37, 3.66, , V, 1.17, .83, .347, 1
AFFECT, IMPACT, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 12, 67, 3.32, , N, .91, .09, 0.000, 1
AFFECT, PLUG, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 25, 23, 6.00, G, N, 1.30, .30, .058, 1
AFFECT, RESPONSE, YES, 152, 2, .013, 0.000, .0060, 0.0000, 1, 1, 0.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 12, 77, 3.00, , N, 1.67, .25, .038, 1
AFFECT, RESULT, YES, 152, 2, .013, 0.000, .0170, .0127, 1, 1, 2.0, 1, 16, 35, ¥, , V, .93, .13, .022, 1, 17, 244, 3.18, , V, 1.75, .19, .026, 1
AFFECT, TOUCH, YES, 152, 2, .013, 0.000, .0010, 0.0000, 1, 1, 0.0, 0, 16, 35, ¥, , V, .93, .13, .022, 1, 10, 87, 4.48, , V, 1.60, .60, .265, 1
AFFECTION, LOVE, YES, 150, 120, .800, 0.000, .0190, .0016, 4, 0, 3.0, 0, 6, 1, 3.70, , N, 1.50, .33, .003, 1, 18, 232, 3.51, , N, 1.67, .78, .236, 1
AFFECTION, HUG, YES, 150, 6, .040, .050, .0120, .1117, 2, 0, 2.0, 0, 6, 1, 3.70, , N, 1.50, .33, .003, 1, 13, 3, 5.34, , V, 2.08, .77, .155, 1
AFFECTION, CARE, YES, 150, 4, .027, 0.000, .0140, .2056, 1, 0, 1.0, 0, 6, 1, 3.70, , N, 1.50, .33, .003, 1, 18, 162, 3.33, , N, 1.29, .29, .022, 1
AFFECTION, KISS, YES, 150, 2, .013, .038, .0610, .1938, 2, 0, 2.0, 0, 6, 1, 3.70, , N, 1.50, .33, .003, 1, 13, 17, 5.78, , V, 1.75, .58, .152, 1
AFFECTION, LUST, YES, 150, 2, .013, 0.000, 0.0000, .2440, 0, 0, 1.0, 1, 6, 1, 3.70, , N, 1.50, .33, .003, 1, 8, 5, 3.16, , N, 2.29, .43, .012, 1
AFFECTION, SHOW, YES, 150, 2, .013, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 6, 1, 3.70, , N, 1.50, .33, .003, 1, 24, 287, 3.93, G, V, 1.52, .44, .046, 1
AFRAID, SCARE, YES, 144, 87, .604, .123, .0130, .0142, 1, 0, 3.0, 2, 9, 57, 3.32, , AJ, 1.44, .44, .079, 1, 11, 3, 4.07, , V, 2.00, .27, .370, 1
AFRAID, FEAR, YES, 144, 11, .076, .047, .0330, .0029, 3, 0, 3.0, 2, 9, 57, 3.32, , AJ, 1.44, .44, .079, 1, 17, 127, 3.22, , N, 1.40, .67, .050, 1
AFRAID, DARK, YES, 144, 6, .042, 0.000, .0120, 0.0000, 3, 0, 0.0, 0, 9, 57, 3.32, , AJ, 1.44, .44, .079, 1, 8, 185, 4.68, G, AJ, .29, .71, .216, 1
AFRAID, FRIGHT, YES, 144, 3, .021, .029, .2840, .3926, 3, 0, 3.0, 0, 9, 57, 3.32, , AJ, 1.44, .44, .079, 1, 8, 2, 2.63, , N, 1.38, .63, .305, 1
AFRAID, GHOST, YES, 144, 3, .021, 0.000, 0.0000, .0014, 1, 0, 2.0, 1, 9, 57, 3.32, , AJ, 1.44, .44, .079, 1, 24, 11, 4.25, , N, 1.45, .55, .102, 1
AFRAID, ALONE, YES, 144, 2, .014, .027, 0.0000, .0010, 0, 0, 2.0, 2, 9, 57, 3.32, , AJ, 1.44, .44, .079, 1, 19, 195, 3.81, , AJ, 1.44, .63, .090, 1
AFRAID, BRAVE, YES, 144, 2, .014, 0.000, .0010, 0.0000, 1, 0, 0.0, 0, 9, 57, 3.32, , AJ, 1.44, .44, .079, 1, 15, 24, 2.76, , AJ, 1.67, .40, .060, 1
AFRAID, QUIET, YES, 144, 2, .014, 0.000, 0.0000, 0.0000, 1, 0, 0.0, 0, 9, 57, 3.32, , AJ, 1.44, .44, .079, 1, 12, 76, 3.70, , AJ, .50, .70, .098, 1
AFRAID, RUN, YES, 144, 2, .014, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 9, 57, 3.32, , AJ, 1.44, .44, .079, 1, 10, 212, 4.51, , V, 1.00, .80, .353, 1
AFRICA, CONTINENT, YES, 145, 34, .234, .169, .0060, .0129, 2, 2, 2.0, 0, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 16, 17, ¥, , N, 2.14, .29, .063, 1
AFRICA, BLACK, YES, 145, 21, .145, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 10, 203, 4.66, , AJ, .50, .50, .381, 1
AFRICA, COUNTRY, YES, 145, 11, .076, 0.000, .0330, .0035, 3, 2, 2.0, 1, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 19, 324, 4.54, P, N, 1.11, .47, .057, 1
AFRICA, APARTHEID, NO, 145, 9, .062, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 45, 5.92, , N, 1.07, .29, .046, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AFRICA, JUNGLE, YES, 145, 7, .048, .034, 0.0000, .0013, 1, 2, 3.0, 3, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 21, 20, 6.28, , N, 1.81, .33, .018, 1
AFRICA, HOT, YES, 145, 5, .034, 0.000, .0020, 0.0000, 3, 2, 0.0, 0, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 8, 130, 5.03, G, AJ, 1.12, .88, .301, 1
AFRICA, SOUTH, YES, 145, 5, .034, 0.000, 0.0000, .0005, 0, 2, 1.0, 1, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 7, 240, 3.39, , N, .33, .50, .537, 1
AFRICA, ASIA, YES, 145, 4, .028, .145, .0270, .0465, 1, 2, 2.0, 1, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 19, 44, ¥, , N, 1.88, .29, .033, 1
AFRICA, ANIMALS, YES, 145, 3, .021, 0.000, 0.0000, .0003, 0, 2, 1.0, 1, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 22, 58, 6.75, , N, 1.74, .11, .015, 1
AFRICA, DESERT, YES, 145, 3, .021, 0.000, 0.0000, .0018, 0, 2, 1.0, 1, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 8, 21, 5.90, N, N, .86, .43, .013, 1
AFRICA, ELEPHANT, YES, 145, 3, .021, 0.000, 0.0000, .0007, 0, 2, 1.0, 1, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 19, 7, 7.00, , N, 1.05, .37, .028, 1
AFRICA, EXOTIC, NO, 145, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 45, 5.92, , N, 1.07, .29, .046, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AFRICA, FREEDOM, YES, 145, 2, .014, 0.000, 0.0000, .0019, 0, 2, 2.0, 1, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 24, 128, 1.98, , N, 1.05, .30, .068, 0
AFRICA, GREEN, YES, 145, 2, .014, 0.000, .0020, 0.0000, 2, 2, 0.0, 0, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 17, 116, 5.46, N, N, 1.19, .94, .142, 1
AFRICA, LION, YES, 145, 2, .014, .021, .0020, 0.0000, 2, 2, 0.0, 0, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 15, 17, 6.14, , N, 1.75, .83, .151, 1
AFRICA, POOR, YES, 145, 2, .014, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 16, 45, 5.92, , N, 1.07, .29, .046, 1, 11, 113, 3.00, , AJ, .73, .27, .354, 1
AFTER, BEFORE, YES, 154, 88, .571, .859, 0.0000, 0.0000, 0, 1, 0.0, 0, 10, 1070, 2.33, , PP, .44, .44, .492, 0, 4, 1016, 2.52, , ADJ, 0.00, .50, 0.000, 0
AFTER, LATER, NO, 154, 18, .117, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 10, 1070, 2.33, , PP, .44, .44, .492, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AFTER, NOON, YES, 154, 13, .084, 0.000, 0.0000, .0003, 1, 1, 1.0, 0, 10, 1070, 2.33, , PP, .44, .44, .492, 0, 13, 25, ¥, , N, 1.23, .31, .017, 1
AFTER, DARK, YES, 154, 5, .032, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 10, 1070, 2.33, , PP, .44, .44, .492, 0, 8, 185, 4.68, G, AJ, .29, .71, .216, 1
AFTER, MATH, YES, 154, 4, .026, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 10, 1070, 2.33, , PP, .44, .44, .492, 0, 19, 4, 3.78, , N, 2.26, .58, .161, 1
AFTER, NOW, YES, 154, 3, .019, 0.000, 0.0000, .0674, 0, 1, 1.0, 0, 10, 1070, 2.33, , PP, .44, .44, .492, 0, 9, 1314, 3.02, , AD, 1.00, .71, .040, 0
AFTER, HOURS, YES, 154, 2, .013, .014, 0.0000, 0.0000, 0, 1, 0.0, 0, 10, 1070, 2.33, , PP, .44, .44, .492, 0, 15, 175, 2.93, , N, .92, .31, .134, 1
AFTER, MORNING, YES, 154, 2, .013, .047, .0020, .0017, 2, 1, 1.0, 0, 10, 1070, 2.33, , PP, .44, .44, .492, 0, 18, 211, 5.11, , N, 1.89, .56, .069, 1
AFTER, POST, YES, 154, 2, .013, .054, 0.0000, 0.0000, 0, 1, 0.0, 0, 10, 1070, 2.33, , PP, .44, .44, .492, 0, 14, 84, 5.27, , N, .77, .08, .001, 1
AFTER, TOMORROW, YES, 154, 2, .013, 0.000, 0.0000, .0004, 0, 1, 1.0, 1, 10, 1070, 2.33, , PP, .44, .44, .492, 0, 9, 63, ¥, , N, 1.25, .38, .312, 1
AFTERNOON, NIGHT, YES, 146, 21, .144, 0.000, .1130, .0377, 4, 2, 1.0, 0, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 6, 411, 4.83, G, N, .50, .67, .606, 1
AFTERNOON, EVENING, YES, 146, 18, .123, 0.000, .0030, .0743, 2, 2, 5.0, 3, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 8, 133, 3.93, , N, 1.38, .50, .010, 1
AFTERNOON, HOT, YES, 146, 15, .103, 0.000, .0090, 0.0000, 2, 2, 0.0, 0, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 8, 130, 5.03, G, AJ, 1.12, .88, .301, 1
AFTERNOON, SUN, YES, 146, 11, .075, 0.000, .0100, .0090, 4, 2, 1.0, 1, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 14, 112, 6.23, , N, 2.36, .93, .153, 1
AFTERNOON, LUNCH, YES, 146, 10, .068, .019, 0.0000, 0.0000, 0, 2, 0.0, 0, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 17, 33, 5.46, , N, 1.88, .59, .053, 1
AFTERNOON, MORNING, YES, 146, 10, .068, .041, .0180, .0459, 3, 2, 4.0, 3, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 18, 211, 5.11, , N, 1.89, .56, .069, 1
AFTERNOON, DAY, YES, 146, 8, .055, 0.000, .1140, .1196, 6, 2, 2.0, 1, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 6, 686, 4.67, , N, .67, .67, .574, 1
AFTERNOON, NAP, YES, 146, 6, .041, .013, 0.0000, .0005, 0, 2, 1.0, 1, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 11, 4, ¥, T, V, 1.45, .18, .001, 1
AFTERNOON, MIDDAY, NO, 146, 4, .027, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 106, 3.71, , N, 1.50, .17, .005, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AFTERNOON, SUNNY, YES, 146, 4, .027, 0.000, 0.0000, .0186, 0, 2, 3.0, 3, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 13, 13, ¥, , AJ, 2.54, .15, .039, 1
AFTERNOON, DAYTIME, NO, 146, 3, .021, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 106, 3.71, , N, 1.50, .17, .005, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AFTERNOON, SOAP, YES, 146, 3, .021, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 22, 22, 5.77, , N, 1.76, .48, .055, 1
AFTERNOON, CLASS, YES, 146, 2, .014, 0.000, 0.0000, 0.0000, 1, 2, 0.0, 0, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 23, 207, 5.03, G, N, 2.83, .61, .027, 1
AFTERNOON, HOME, YES, 146, 2, .014, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 15, 547, 6.25, , N, 1.47, .40, .208, 1
AFTERNOON, LATE, YES, 146, 2, .014, 0.000, .0030, .0254, 2, 2, 4.0, 2, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 11, 179, 2.53, , AJ, 1.09, .46, .321, 1
AFTERNOON, MIDNIGHT, YES, 146, 2, .014, 0.000, 0.0000, .0032, 1, 2, 3.0, 2, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 20, 23, ¥, , N, 1.12, .12, .005, 1
AFTERNOON, OFF, YES, 146, 2, .014, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 2, 639, 2.77, G, AD, 0.00, .50, .788, 1
AFTERNOON, SUNDAY, YES, 146, 2, .014, 0.000, 0.0000, .0017, 0, 2, 2.0, 2, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 17, 101, 4.45, , N, 2.09, .27, .029, 0
AFTERNOON, SUNSET, YES, 146, 2, .014, 0.000, .0020, .0052, 1, 2, 1.0, 1, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 14, 14, 6.07, , N, 1.86, .07, .143, 1
AFTERNOON, TIRED, YES, 146, 2, .014, 0.000, .0010, 0.0000, 1, 2, 0.0, 0, 20, 106, 3.71, , N, 1.50, .17, .005, 1, 14, 48, 3.04, , AJ, 1.79, .79, .161, 1
AGAIN, REPEAT, YES, 152, 51, .336, .289, .0010, .0162, 1, 1, 3.0, 2, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 18, 26, ¥, , V, .73, .09, .097, 0
AGAIN, OVER, YES, 152, 17, .112, 0.000, .0070, 0.0000, 1, 1, 0.0, 0, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 11, 1236, 2.80, , PP, .64, .46, .268, 1
AGAIN, NEVER, YES, 152, 10, .066, .077, .0010, .0035, 3, 1, 1.0, 0, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 9, 698, 2.49, , AD, 1.11, .67, .204, 1
AGAIN, AGAIN, YES, 152, 7, .046, .046, .1050, .1359, 4, 1, 12.0, 6, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 12, 578, ¥, , AD, 2.64, .46, .107, 1
AGAIN, STOP, YES, 152, 5, .033, 0.000, 0.0000, 0.0000, 1, 1, 0.0, 0, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 8, 120, 2.93, G, V, 1.75, .88, .435, 1
AGAIN, RE-DO, NO, 152, 4, .026, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 578, ¥, , AD, 2.64, .46, .107, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AGAIN, TRY, YES, 152, 4, .026, .068, 0.0000, .0040, 0, 1, 3.0, 2, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 16, 140, 2.50, T, V, 1.33, .53, .132, 1
AGAIN, TWICE, YES, 152, 4, .026, .047, .0120, .0142, 1, 1, 3.0, 1, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 13, 74, ¥, , AV, 1.36, .27, .168, 0
AGAIN, ONCE, YES, 152, 3, .020, 0.000, .0070, .0170, 1, 1, 3.0, 2, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 12, 499, 3.11, , AD, 1.00, .11, .162, 1
AGAIN, DO, YES, 152, 2, .013, 0.000, .0200, .0007, 2, 1, 1.0, 1, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 20, 1363, 2.72, , V, 1.18, .53, .013, 0
AGAIN, NOT, YES, 152, 2, .013, 0.000, 0.0000, .0016, 1, 1, 2.0, 2, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 21, 4609, 2.68, , AD, 1.40, 0.00, 0.000, 0
AGAIN, NOW, YES, 152, 2, .013, 0.000, .0010, .0032, 2, 1, 1.0, 1, 12, 578, ¥, , AD, 2.64, .46, .107, 1, 9, 1314, 3.02, , AD, 1.00, .71, .040, 0
AGAINST, FOR, YES, 144, 45, .312, .270, .0010, 0.0000, 1, 3, 0.0, 0, 16, 626, ¥, , PP, .69, .39, .092, 0, 13, 9489, 2.36, , PRP, .50, .10, .084, 0
AGAINST, ODDS, YES, 144, 13, .090, .053, 0.0000, 0.0000, 0, 3, 0.0, 0, 16, 626, ¥, , PP, .69, .39, .092, 0, 7, 14, ¥, , N, 1.00, .25, .005, 0
AGAINST, ANTI, NO, 144, 7, .049, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 626, ¥, , PP, .69, .39, .092, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AGAINST, OPPOSE, NO, 144, 7, .049, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 626, ¥, , PP, .69, .39, .092, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AGAINST, WITH, YES, 144, 6, .042, 0.000, .0010, .0037, 2, 3, 2.0, 0, 16, 626, ¥, , PP, .69, .39, .092, 0, 12, 7289, 2.61, , PP, 1.00, .44, .065, 0
